year,leap_year,number_of_days,year_start_index
1979,0,365,0
1980,1,366,365
1981,0,365,731
1982,0,365,1096
1983,0,365,1461
1984,1,366,1826
1985,0,365,2192
1986,0,365,2557
1987,0,365,2922
1988,1,366,3287
1989,0,365,3653
1990,0,365,4018
1991,0,365,4383
1992,1,366,4748
1993,0,365,5114
1994,0,365,5479
1995,0,365,5844
1996,1,366,6209
1997,0,365,6575
1998,0,365,6940
1999,0,365,7305
2000,1,366,7670
2001,0,365,8036
2002,0,365,8401
2003,0,365,8766
2004,1,366,9131
2005,0,365,9497
2006,0,365,9862
2007,0,365,10227
2008,1,366,10592
2009,0,365,10958
2010,0,365,11323
2011,0,365,11688
2012,1,366,12053
2013,0,365,12419
2014,0,365,12784
2015,0,365,13149
2016,1,366,13514
2017,0,365,13880
2018,0,365,14245
2019,0,365,14610
