"","ny_amplitudes","or_amplitudes","ne_amplitudes","fl_amplitudes"
"1",13.3679639424514,12.3052784672414,15.77296035263,5.4278711223942
"2",14.5740224886331,9.96516982476851,16.0362916375743,6.07371158524368
"3",13.4094378628739,10.4462183505705,13.2098572740612,6.31409986609775
"4",12.952241133031,11.5706490455885,14.4229455588106,4.02730372999937
"5",13.8366711640436,10.4359078061028,16.4242697454179,5.65922984419141
"6",12.5022233731528,11.3016126830306,14.9552747799388,4.54981216403842
"7",13.6321735766128,12.0772509487345,15.8404412016267,5.08364960742246
"8",12.8758377564311,10.3339301766715,12.9327711172663,4.81921823807902
"9",13.5348856757759,11.5939015903458,14.4952526921754,5.21699872122072
"10",13.7534609251189,11.40078657778,14.9624376446398,4.99736579294881
"11",13.4148755994816,10.9368591848011,14.3715571579728,4.86855746415942
"12",11.6141531416942,11.8110921143148,13.8238947106675,4.03646854973817
"13",13.072234203087,10.6192178394109,13.565925258604,4.34303402737776
"14",12.3328242708711,11.3069752997256,12.3683541825499,4.53826213988176
"15",14.0095426856064,10.0729423050543,14.5908433749251,5.57308571448913
"16",13.3910474251972,11.6533025095113,15.4720277885462,4.11733932030606
"17",14.6637004572099,9.76415142630907,13.1534062266418,5.83601836502332
"18",12.5666283104485,11.3361638587793,14.4869005154745,5.04870803540928
"19",12.2594892876098,11.005172213413,13.9765280280713,4.52078632517424
"20",12.4098896674972,11.3805212836937,14.4755258333835,6.18764903190646
"21",12.9037462228852,11.5142522401352,12.0783099971258,4.53062615570461
"22",12.8710531355554,10.9495668183581,15.5238743305186,5.91293184796477
"23",12.7308366516501,11.589278431075,15.3483441199697,4.47267404487073
"24",13.2272015293114,11.3910168838226,14.9896566131345,4.84740844925774
"25",13.8149079261487,12.4779828885342,14.6282355768931,4.66589940466664
"26",12.8482029605038,10.9513789194398,14.1633627043263,5.05755058970357
"27",14.2156402006704,10.5456181171198,13.3924810573588,5.36473849527028
"28",11.7658800566619,12.8102800320438,14.8093593265581,4.62792100675496
"29",14.8326920255301,11.8480456770252,16.0788810544098,5.03155696454533
"30",13.7216327207194,11.8601537850276,14.7124367840243,4.68747549652334
"31",12.4732895190888,12.1769485502771,14.6968459331274,5.52405417654062
"32",14.6034704852348,10.7695817253787,16.3695476368862,6.93572281587183
"33",12.8717348422691,11.1842704014906,14.2122028471551,5.16591983630375
"34",12.9486426886815,12.2578180974704,15.5397040562626,4.17837853085032
"35",13.6762710205166,11.4905944730252,14.988166914811,4.44393678968824
"36",14.2627855136514,11.63107215414,14.1668630427391,5.08863286188675
"37",13.841038896125,11.9801527125974,13.9104397168021,5.0043309858808
"38",13.611236665562,11.6803988559379,13.8193525305929,4.70191129171877
"39",13.0178272134496,12.862645405968,13.0559765124056,4.24668833311162
